year,zip_code,birthweight,count,city,state,latitude,longitute,location
2008,90001,2500+ grams,1296,LOS ANGELES,CA,33.973093,-118.247896,"(33.973093, -118.247896)"
2008,90001,UNK,0,LOS ANGELES,CA,33.973093,-118.247896,"(33.973093, -118.247896)"
2008,90001,1500-2499g,77,LOS ANGELES,CA,33.973093,-118.247896,"(33.973093, -118.247896)"
2008,90001,UNDER 1500g,25,LOS ANGELES,CA,33.973093,-118.247896,"(33.973093, -118.247896)"
2008,90002,UNK,0,LOS ANGELES,CA,33.94969,-118.246213,"(33.94969, -118.246213)"
2008,90002,1500-2499g,85,LOS ANGELES,CA,33.94969,-118.246213,"(33.94969, -118.246213)"
2008,90002,UNDER 1500g,22,LOS ANGELES,CA,33.94969,-118.246213,"(33.94969, -118.246213)"
2008,90002,2500+ grams,1115,LOS ANGELES,CA,33.94969,-118.246213,"(33.94969, -118.246213)"
2008,90003,2500+ grams,1675,LOS ANGELES,CA,33.965335,-118.272739,"(33.965335, -118.272739)"
2008,90003,UNDER 1500g,31,LOS ANGELES,CA,33.965335,-118.272739,"(33.965335, -118.272739)"
2008,90003,UNK,0,LOS ANGELES,CA,33.965335,-118.272739,"(33.965335, -118.272739)"
2008,90003,1500-2499g,127,LOS ANGELES,CA,33.965335,-118.272739,"(33.965335, -118.272739)"
2008,90004,UNDER 1500g,15,LOS ANGELES,CA,34.076163,-118.302863,"(34.076163, -118.302863)"
2008,90004,UNK,0,LOS ANGELES,CA,34.076163,-118.302863,"(34.076163, -118.302863)"
2008,90004,1500-2499g,61,LOS ANGELES,CA,34.076163,-118.302863,"(34.076163, -118.302863)"
2008,90004,2500+ grams,895,LOS ANGELES,CA,34.076163,-118.302863,"(34.076163, -118.302863)"
2008,90005,1500-2499g,35,LOS ANGELES,CA,34.058508,-118.301197,"(34.058508, -118.301197)"
2008,90005,2500+ grams,561,LOS ANGELES,CA,34.058508,-118.301197,"(34.058508, -118.301197)"
2008,90005,UNK,0,LOS ANGELES,CA,34.058508,-118.301197,"(34.058508, -118.301197)"
